candidate_name,from,risk,same_quadrant,sample_id,to,transition
v17_safe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0063,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_safe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0196,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_safe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",cross_quadrant,False,track2_0215,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",tired->content
v17_safe,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0382,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",content->excited
v17_safe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",cross_quadrant,False,track2_0505,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",tired->calm
v17_safe,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0779,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",content->excited
v17_safe,"{'emotion': 'aroused', 'valence': 'Positive', 'arousal': 'High'}",cross_quadrant,False,track2_0873,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",aroused->calm
v17_safe,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0925,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",calm->tired
v17_balanced,"{'emotion': 'alarmed', 'valence': 'Negative', 'arousal': 'High'}",cross_quadrant,False,track2_0030,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",alarmed->sad
v17_balanced,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0063,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_balanced,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0090,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",calm->excited
v17_balanced,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0196,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_balanced,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",cross_quadrant,False,track2_0215,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",tired->content
v17_balanced,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0319,"{'emotion': 'bored', 'valence': 'Negative', 'arousal': 'Low'}",calm->bored
v17_balanced,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0382,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",content->excited
v17_balanced,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0457,"{'emotion': 'aroused', 'valence': 'Positive', 'arousal': 'High'}",calm->aroused
v17_balanced,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",cross_quadrant,False,track2_0505,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",tired->calm
v17_balanced,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0567,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_balanced,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0591,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",calm->sad
v17_balanced,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0770,"{'emotion': 'happy', 'valence': 'Positive', 'arousal': 'High'}",content->happy
v17_balanced,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0779,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",content->excited
v17_balanced,"{'emotion': 'aroused', 'valence': 'Positive', 'arousal': 'High'}",cross_quadrant,False,track2_0873,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",aroused->calm
v17_balanced,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0925,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",calm->tired
v17_aggressive_probe,"{'emotion': 'alarmed', 'valence': 'Negative', 'arousal': 'High'}",cross_quadrant,False,track2_0008,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",alarmed->sad
v17_aggressive_probe,"{'emotion': 'alarmed', 'valence': 'Negative', 'arousal': 'High'}",cross_quadrant,False,track2_0030,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",alarmed->sad
v17_aggressive_probe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",cross_quadrant,False,track2_0056,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",tired->calm
v17_aggressive_probe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0063,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_aggressive_probe,"{'emotion': 'aroused', 'valence': 'Positive', 'arousal': 'High'}",cross_quadrant,False,track2_0070,"{'emotion': 'bored', 'valence': 'Negative', 'arousal': 'Low'}",aroused->bored
v17_aggressive_probe,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0090,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",calm->excited
v17_aggressive_probe,"{'emotion': 'excited', 'valence': 'Positive', 'arousal': 'High'}",cross_quadrant,False,track2_0142,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",excited->content
v17_aggressive_probe,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",cross_quadrant,False,track2_0145,"{'emotion': 'alarmed', 'valence': 'Negative', 'arousal': 'High'}",calm->alarmed
v17_aggressive_probe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",same_quadrant,True,track2_0196,"{'emotion': 'sad', 'valence': 'Negative', 'arousal': 'Low'}",tired->sad
v17_aggressive_probe,"{'emotion': 'tired', 'valence': 'Negative', 'arousal': 'Low'}",cross_quadrant,False,track2_0211,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",tired->calm
