all_sources,current_arousal,current_emotion,current_label_issue_count,current_valence,exact_duplicate,failed_transition_count,max_confidence,model_sources,model_support_score,model_vote_count,near_duplicate,proposed_arousal,proposed_emotion,proposed_valence,public_duplicate_support_score,public_style_support_score,rationale,same_arousal,same_valence,sample_id,support_score,transition,v20_decision,v20_reasons,v20_risk,v20_role,v20_score
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.960524,"clip,dinov2,siglip2",2.471994,3,True,Low,calm,Positive,0.960524,0.673441,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0869,4.105959,content->calm,accept_candidate,strong_row_evidence_overrides_caution_direction,caution,championship_caution_accept,4.680958
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.967328,"clip,dinov2,siglip2",2.339964,3,True,Low,calm,Positive,0.967328,0.719026,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0210,4.026318,content->calm,accept_candidate,strong_row_evidence_overrides_caution_direction,caution,championship_caution_accept,4.603903
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.96074,"clip,dinov2,siglip2",2.41318,3,True,Low,calm,Positive,0.96074,0.625225,near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0555,3.999145,content->calm,accept_candidate,strong_row_evidence_overrides_caution_direction,caution,championship_caution_accept,4.574226
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.957695,"clip,dinov2,siglip2",2.250468,3,True,Low,calm,Positive,0.957695,0.701004,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0871,3.909167,content->calm,accept_candidate,strong_row_evidence_overrides_caution_direction,caution,championship_caution_accept,4.483091
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.952827,"clip,dinov2,siglip2",2.306019,3,True,Low,calm,Positive,0.952827,0.610013,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0914,3.868859,content->calm,accept_candidate,strong_row_evidence_overrides_caution_direction,caution,championship_caution_accept,4.440933
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.865907,"clip,dinov2,siglip2",2.597926,3,False,Low,calm,Positive,0.0,0.85504,,True,True,track2_0956,3.452966,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.749557
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.788351,"clip,dinov2,siglip2",2.674845,3,False,Low,calm,Positive,0.0,0.782795,,True,True,track2_0765,3.45764,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.746475
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.788968,"clip,dinov2,siglip2",2.674829,3,False,Low,calm,Positive,0.0,0.778564,,True,True,track2_0651,3.453393,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.74229
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.830776,"clip,dinov2,siglip2",2.618962,3,False,Low,calm,Positive,0.0,0.762277,,True,True,track2_0410,3.381239,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.674317
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.78318,"clip,dinov2,siglip2",2.663235,3,False,Low,calm,Positive,0.0,0.709141,,True,True,track2_0044,3.372376,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.660694
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.783169,"clip,dinov2,siglip2",2.617604,3,False,Low,calm,Positive,0.0,0.750502,,True,True,track2_0880,3.368106,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.656423
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.749026,"clip,dinov2,siglip2",2.586274,3,False,Low,calm,Positive,0.0,0.719396,,True,True,track2_0942,3.30567,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.590573
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.755085,"clip,dinov2,siglip2",2.551767,3,False,Low,calm,Positive,0.0,0.723905,,True,True,track2_0580,3.275672,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.561181
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.779179,"clip,dinov2,siglip2",2.523067,3,False,Low,calm,Positive,0.0,0.744238,,True,True,track2_0704,3.267305,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.555223
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.806466,"clip,dinov2,siglip2",2.629418,3,False,Low,calm,Positive,0.0,0.621628,,True,True,track2_0718,3.251046,content->calm,accept_candidate,model_and_public_style_consensus_overrides_caution_direction,caution,championship_consensus_accept,3.541693
