sample_id,candidate_strategy,style_family,v7_family_id,aspect_label,recommended_model,risk_tags,caption
track1_0077,caption_faithful_guard,socialist_realism_poster,naval_aviation_vehicle,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism Soviet naval propaganda poster with a sailor hoisting red and white flags before panels of warships and sea battles, using bold Cyrillic typography, patriotic red accents, and a solemn heroic composition."
track1_0091,caption_faithful_guard,socialist_realism_poster,naval_aviation_vehicle,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism poster of a uniformed border guard saluting joyful passengers leaning from a train window beside a red and green frontier post, with bold Cyrillic lettering, muted washes, and a solemn patriotic mood."
track1_0128,caption_faithful_guard,socialist_realism_poster,battle_tank_cavalry,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard;overused_reference_guard,"Socialist Realism poster of Soviet soldiers marching beside a tank with red banners, celebratory flowers, and bold Cyrillic slogans in a patriotic, triumphant composition."
track1_0476,caption_faithful_guard,socialist_realism_poster,naval_aviation_vehicle,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism propaganda poster with bold Cyrillic lettering, a naval medal, sailing ships, cannon, and uniformed sailors in a dramatic maritime battle scene rendered with graphic linework and muted watercolor tones."
track1_0628,caption_faithful_guard,socialist_realism_poster,agriculture_industry_worker,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;template_distribution_guard,"A Socialist Realism Soviet poster with bold Cyrillic typography contrasts wartime devastation behind barbed wire with liberated Ukrainian peasants harvesting golden wheat under a bright sky, using strong graphic composition and earthy colors."
track1_0747,caption_faithful_guard,socialist_realism_poster,battle_tank_cavalry,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard;overused_reference_guard,"A Socialist Realism Soviet wartime propaganda poster with bold Cyrillic lettering, mounted soldiers, fleeing civilians, burning village ruins, aircraft overhead, and dramatic brushwork in a muted blue, red, and ochre palette."
track1_0803,caption_faithful_guard,socialist_realism_poster,kremlin_red_square,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism propaganda poster with the Soviet, American, and British flags flying above a Kremlin tower crowned by a red star, framed by dramatic blue searchlight beams, bold Russian text, and a solemn wartime color palette."
track1_0063,caption_faithful_guard,ink_wash_scroll,scroll_album_paper_support,vertical_scroll,gemini-3.1-flash-image,text_or_symbol_guard;support_surface_guard,"Ink and wash painting of a serene mountainous landscape with layered peaks, trees, a winding stream, calligraphy, seals, and delicate monochrome brushwork on a hanging scroll."
track1_0019,caption_faithful_guard,socialist_realism_poster,battle_tank_cavalry,portrait_poster,gemini-3.1-flash-image,real_world_reference_guard;template_distribution_guard;overused_reference_guard,"Socialist Realism poster of four heroic soldiers in tan uniforms standing with rifles against a blue sky, rendered with bold angular brushstrokes, warm earthy colors, and a solemn monumental composition."
track1_0534,caption_faithful_guard,socialist_realism_poster,generic_artwork,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;real_world_reference_guard;template_distribution_guard;overused_reference_guard,"A Socialist Realism propaganda poster with a Soviet soldier embracing a woman in traditional embroidered clothing beneath red banners, a Soviet emblem, and bold Cyrillic lettering, rendered in strong graphic colors and heroic composition."
